NewHash(v1.38),BaseHash
41B4893843BBDB74,D0051FAE2E1BB4C8
1D6650420CEC9D3B,44095C938FBA7E09
8D8686B622B88120,4569EA65F1B056ED
A3B0C41BA5CC0BB5,791B4C3811D53DFA
C5F68BE9613E2D18,BC5268D1B5C5B73B
7FF4944CC209192D,D043E8A8264D756C
EE6C5AD3ECE0A82D,43D3344EE0A5162E
C7B4D79B01FA7A5C,EB9E73D41990B2C4
2302C0264EA58D31,EDF7F03509E6A1BD
18A47D074708FD68,159BC3DDA80D71AC
38CE16C96BD11344,B7D6400C89373777
4D36070FE0215186,B364346471C3B028
BFFEAB45A9A9094A,D93F965CFAC1D06A
AE3CBE5BF394C9C9,24DBE20C830AE9AB
F9C812CD7C46E817,F1EF58EA136E80B6
BDCD95FC216A8B3E,8A437068C87289B7
367B936610BA360C,854C404AEB476240
B736A491E64A32CF,75E3AAA7D01DEDC8
D8515F5FEA14CB3F,BD11ACD80727BD31
45FF974EEE1C8734,97A41BF3F05FC07D
800DD4721A8B008B,3E42A32E15B11FFA
E05E81A888FA63C8,FEDD7E9148CF3B3E
8E2530AA8ADA980E,CD37A28258D70638
406137F8EF90EAF5,3B3F13C4C5844979
3910051CCECDB00C,8B58E7AC53EED9F1
710311ADF0E20730,C5DE9743D6DA2C15
1C99BB7B6E96D16F,FA67B92FD990FE3A
5CEC1A84620E7D5B,32DEC16D9E825DE1
9A294B2138ABB884,0358AFF5157FE26F
99BFDC94A603E541,99A6768052B30AE8
F1CA12B18AEF5298,6DA4D1FB7DCE9FD8
C7827959479DCC78,895470BB92940DC6
69778E7564BADE6D,3550A1A1A4D8BAFF
673966A0C0FD7171,D4D9128A76AEFA14
31F924B53EADDF65,6260E778915933D8
3882114BDE571AD4,8F160110753EB17B
77F33F2CCF64B3AA,0E0A6D38926C4DD2
E65F427EB70AB1ED,E2D24A37AFCF27BF
2DE3F0A134FFBC0D,D40616C608081C8D
7FB218262B810701,FFE2CF1579FA5C68
40FDEDB72F8293B2,20CC00CC70A99443
74AFEF0D2E1E409B,176066ACB1B41C48
6F60E89A7B64EE1D,1371BE9AFC38ECD4
7F8F65877F88783B,E41AAE444A244039
944955FB2A3935C8,7C0019321F1FC821
CA7D9B86ECA7481B,B4C12EFC62A8536A
75262FD12D0A1C84,879C5D9B5CD209C5
FCBDCE714A7C88E5,964C4D363AF812CB
EE68096F9F37341E,61BE49A80917237B
1E3F1B1B891A2AAA,CB1C0F2DEA8639F1
C8A9481A01E63C28,D30B1DC5605A4D93
6B76DC1F3AE6E6A3,C595907BB71C921D
B893215D8D4C015B,94D6C89E54DCFFD2
BCBF4FEF9FA5D781,035BBFB481EB12F2
0EDEC3C276198689,818C6D67AB3F266B
1718DE8E3F2823CA,0B87A8220B73252D
AB54A438726D25D5,49CB177958B472A8
A178472EBB8AE60D,4B43AFBD2CEE7724
983765856F2564F9,7D7DBA522B57FFD0
CFC8BE9A5E1FE575,0DF115F2DFB9476F
87E7F24270732CB1,D8CDB1383C822BD5
FAEE099C6F890BB8,3A653D4F5FA4B665
C0296A2EDF545E92,3F1DFD4C1BC6827A
7277F1F2E085EE74,A8911798335DCDA2
